3|2
5|9
7|5
11|11
12|9
21|5
22|17
28|5
35|9
36|12
38|12
43|3
46|5
49|4
60|8
62|5
78|18
79|15
82|12
97|5
100|5
101|5
124|1
125|16
126|17
127|5
133|17
136|7
137|8
139|7
143|5
155|17
162|5
163|5
165|18
170|2
170|6
174|17
180|15
186|2
189|17
190|12
193|15
201|16
206|10
208|16
208|17
208|18
211|12
217|5
218|16
219|2
220|17
221|1
223|9
241|16
244|10
254|1
256|16
258|2
261|5
264|5
269|17
270|12
273|6
284|18
286|5
287|9
289|1
290|15
292|17
294|17
295|17
296|2
298|5
300|6
301|19
305|12
307|12
309|11
314|17
316|12
318|11
320|5
325|1
328|18
330|6
336|16
338|15
343|15
345|6
346|5
351|12
356|5
360|16
360|17
360|18
361|6
363|5
364|9
371|6
372|16
372|17
372|18
387|17
396|1
396|2
396|6
397|1
397|2
397|6
398|2
398|6
399|1
399|2
399|6
400|1
400|2
400|6
401|1
401|2
401|6
402|1
402|2
402|6
403|1
403|2
403|6
404|6
407|6
407|15
407|16
407|17
407|18
408|6
408|15
408|16
408|17
408|18
409|1
409|2
409|6
410|1
410|2
410|6
411|1
411|2
411|6
412|1
412|2
412|6
413|1
413|2
413|6
414|1
414|2
414|6
415|1
415|2
415|6
417|1
417|2
417|6
418|1
418|2
418|6
419|1
419|2
419|6
420|1
420|2
420|6
421|2
421|6
422|2
422|6
423|2
423|6
424|2
424|6
425|2
425|6
426|6
427|2
427|6
428|2
428|6
429|2
429|6
430|2
430|6
431|2
431|6
432|2
432|6
433|2
433|6
434|1
434|2
434|6
435|1
435|2
435|6
436|1
436|2
436|6
437|1
437|2
437|6
438|1
438|2
438|6
439|1
439|2
439|6
440|1
440|2
440|6
441|1
441|2
441|6
442|2
442|6
443|1
443|2
443|6
444|6
445|6
448|6
450|6
452|3
454|1
458|6
461|1
465|17
467|6
470|6
471|6
471|9
472|1
472|2
472|6
474|6
475|6
478|6
479|6
480|6
481|6
482|2
482|6
484|2
484|6
485|6
486|6
487|1
487|2
487|6
488|1
488|2
488|6
489|2
489|6
490|2
490|4
490|6
491|2
491|6
492|2
492|6
493|2
493|6
494|4
494|6
495|2
495|6
496|2
496|6
497|6
498|6
499|6
500|6
501|6
502|6
503|6
504|6
509|6
510|6
516|4
519|4
522|4
527|1
528|1
529|5
537|4
538|2
540|6
541|6
544|5
544|6
545|3
546|3
547|17
550|6
551|6
551|10
555|6
556|6
557|18
558|5
560|3
563|6
564|12
566|3
573|5
575|6
576|5
577|6
578|16
583|12
586|6
589|5
589|6
590|18
592|6
600|6
600|16
602|6
603|16
604|6
605|5
607|9
608|17
609|18
612|9
613|6
613|16
617|18
619|16
634|17
636|9
639|18
640|12
642|10
644|13
645|12
646|16
649|12
653|12
656|9
657|12
663|16
666|6
666|16
668|5
669|6
669|16
672|10
673|10
675|6
676|9
682|9
684|17
685|5
686|9
694|17
701|17
702|17
703|17
704|17
705|18
709|17
713|17
720|5
721|16
729|18
734|16
741|6
741|17
746|6
746|17
750|15
751|12
787|5
789|6
790|6
791|16
791|17
791|18
792|16
792|17
792|18
793|16
793|17
793|18
795|12
799|17
802|16
802|17
802|18
806|13
813|16
814|16
816|1
819|16
820|16
822|2
828|16
829|16
831|9
833|4
834|13
865|18
866|16
867|16
868|16
869|17
871|18
872|16
872|17
872|18
875|16
877|12
880|17
883|17
887|18
889|1
894|12
896|11
898|6
900|17
901|17
908|6
910|1
911|4
918|11
919|17
928|17
931|17
935|9
937|11
939|5
940|6
941|10
942|9
944|13
945|18
946|18
951|5
962|5
970|12
972|17
973|12
974|11
976|17
978|2
994|1
1009|17
1014|12
1021|12
1022|12
1023|10
1036|1
1037|1
1039|1
1040|1
1041|1
1042|1
1043|1
1044|1
1045|1
1046|1
1047|1
1048|1
1049|1
1050|1
1051|1
1052|1
1053|1
1054|1
1055|1
1056|1
1057|1
1058|1
1059|1
1060|1
1061|1
1062|14
1063|1
1066|14
1071|15
1087|15
1095|1
1096|1
1097|1
1112|5
1113|5
1114|5
1121|1
1122|1
1123|1
1176|14
1217|14
1218|14
1219|14
1246|5
1247|5
1276|4
1289|2
1290|2
1291|2
1292|2
1298|8
1300|2
1301|2
1302|2
1303|13
1309|12
1310|12
1311|12
1312|12
1313|12
1314|12
1315|12
1316|12
1317|12
1318|12
1319|10
1320|9
1321|9
1358|15
1368|5
1368|6
1368|15
1368|17
1369|6
1369|17
1370|6
1370|17
1372|6
1372|17
1377|18
1378|17
1379|6
1379|16
1380|1
1380|2
1380|6
1380|18
1381|1
1381|2
1381|6
1382|1
1382|2
1382|6
1382|17
1383|1
1383|2
1383|6
1383|16
1383|17
1384|1
1384|6
1384|15
1385|5
1386|6
1386|15
1386|16
1386|17
1386|18
