1|1|100g
1|2|55g
1|3|40g
1|4|5g
1|5|3g
1|6|3g
1|7|2g
1|8|1g
1|9|0.3g
2|10|210g
2|2|70g
2|4|20g
2|3|60g
2|11|80g
2|12|3g
2|13|30g
2|14|1g
2|15|1g
2|16|400g
3|17|40g
3|18|30g
3|16|5g
3|4|4g
3|19|2g
3|20|2g
3|21|1g
4|17|40g
4|15|2g
4|18|30g
4|16|5g
4|4|4g
4|21|3g
4|19|2g
4|20|2g
5|17|40g
5|15|2g
5|22|15g
5|18|30g
5|21|6g
5|4|4g
5|19|2g
5|20|1g
6|17|30g
6|13|40g
6|23|5g
6|16|3g
6|19|2g
6|20|1g
7|17|40g
7|18|30g
7|16|50g
7|20|2g
7|23|2g
7|21|1g
7|24|1g
7|19|1g
8|17|30g
8|25|25g
8|19|3g
8|26|3g
8|4|3g
8|21|2g
8|20|1g
9|17|40g
9|22|15g
9|18|30g
9|4|4g
9|21|3g
9|19|2g
9|20|2g
9|26|2g
10|17|40g
10|10|40g
10|18|30g
10|16|5g
10|4|4g
10|19|2g
10|20|2g
10|21|1g
11|27|20g
11|2|15g
11|28|3g
11|29|3g
11|30|1g
11|6|0.5g
11|4|0.3g
11|19|0.2g
12|2|50g
12|4|3g
12|15|2g
12|30|2g
12|19|2g
12|31|1g
12|32|1g
12|21|1g
12|33|1g
12|6|0.7g
13|18|40g
13|2|20g
13|29|5g
13|30|2g
13|24|2g
13|6|1g
13|4|1g
13|7|0.5g
13|19|0.5g
13|20|0.2g
14|2|50g
14|18|10g
14|34|2g
14|6|1g
14|30|1g
14|35|1g
14|4|1g
14|33|1g
14|29|1g
14|19|1g
14|20|0.8g
15|2|20g
15|4|5g
15|36|3g
15|6|1g
15|30|1g
15|19|0.5g
15|15|0.3g
15|20|0.1g
16|2|50g
16|18|10g
16|6|1g
16|30|1g
16|4|1g
16|33|1g
16|29|1g
16|19|1g
16|20|0.8g
16|12|0.5g
17|37|40g
17|2|20g
17|15|8g
17|28|8g
17|6|1g
17|30|1g
17|4|1g
17|20|0.5g
17|19|0.5g
18|2|25g
18|30|1g
18|20|0.5g
18|4|0.5g
18|19|0.5g
19|11|30g
19|2|20g
19|4|5g
19|6|1g
19|30|1g
19|19|0.5g
19|15|0.3g
19|20|0.1g
20|2|40g
20|16|20g
20|38|20g
20|4|5g
20|19|5g
20|20|2g
21|2|50g
21|36|10g
21|4|5g
21|6|1g
21|30|1g
21|19|0.5g
21|15|0.3g
21|20|0.1g
22|13|70g
22|2|20g
22|4|3g
22|15|2.5g
22|6|2g
22|8|1.5g
22|32|0.5g
23|2|35g
23|4|5g
23|6|1g
23|30|1g
23|33|1g
23|19|0.5g
23|15|0.3g
23|20|0.1g
24|39|20g
24|2|15g
24|28|3g
24|29|3g
24|30|1g
24|6|0.5g
24|4|0.3g
24|19|0.2g
25|14|12g
25|26|14g
25|15|12g
25|19|24g
25|7|30g
26|40|440g
27|10|210g
28|41|210g
29|42|210g
30|42|160g
31|43|100g
32|1|70g
32|44|20g
33|1|90g
33|45|10g
34|1|90g
34|45|3g
34|44|2g
35|46|20g
35|10|180g
36|47|5g
36|10|200g
37|48|10g
37|10|190g
37|41|10g
38|49|10g
38|10|190g
39|50|20g
39|10|190g
40|51|10g
40|10|190g
41|51|10g
41|10|190g
41|52|10g
42|51|10g
42|10|180g
42|53|10g
43|51|10g
43|10|180g
43|54|10g
44|55|20g
44|10|180g
45|56|20g
45|10|210g
46|41|140g
46|57|25g
46|58|15g
46|7|10g
46|59|5g
46|60|1g
46|26|1g
47|41|140g
47|10|30g
47|61|10g
47|54|10g
47|55|5g
47|62|5g
47|47|5g
47|20|1g
48|63|20g
48|10|190g
49|64|10g
49|10|180g
49|41|10g
50|65|10g
50|10|180g
50|41|10g
51|52|15g
51|10|180g
51|51|13g
52|51|10g
52|10|140g
52|63|10g
52|65|10g
52|66|10g
53|10|180g
53|54|20g
53|67|10g
53|61|10g
54|66|10g
54|10|180g
55|55|10g
55|10|160g
55|51|10g
56|61|10g
56|10|160g
56|41|10g
57|41|10g
57|10|190g
58|41|10g
58|55|10g
58|10|160g
59|46|20g
59|10|160g
59|41|10g
60|54|20g
60|10|190g
61|68|10g
61|69|60g
62|41|140g
62|70|50g
63|71|25g
63|72|63g
63|10|70g
64|10|86g
64|41|20g
64|73|10g
64|50|70g
65|74|280g
65|61|20g
66|10|75g
66|63|15g
66|51|10g
67|51|17.6g
67|10|105.5g
67|63|23.4g
68|75|45g
68|10|19.3g
68|61|8.9g
68|76|8.9g
68|55|6.5g
68|62|6.5g
68|47|3.1g
68|20|1.9g
69|75|60.7g
69|10|26g
69|61|12g
69|76|12g
69|55|8.8g
69|62|8.8g
69|47|4.2g
69|20|2.6g
70|75|30g
70|68|15g
71|71|22g
71|72|100g
71|10|60g
72|63|60g
72|10|120g
73|52|11.7g
73|10|45g
73|51|7.9g
74|68|20.4g
